| model              |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |   accept/draft |   prefix-hit |
|:-------------------|----------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|---------------:|-------------:|
| qwen3.8-flash-next |           pp2048 (c1) | 2745.00 ± 239.44 | 2745.00 ± 239.44 |                |                  |      770.31 ± 71.53 |      768.60 ± 71.53 |      770.31 ± 71.53 |          0.456 |            0 |
| qwen3.8-flash-next |            tg512 (c1) |     54.17 ± 3.23 |     54.17 ± 3.23 |   76.33 ± 4.92 |     76.33 ± 4.92 |                     |                     |                     |          0.456 |            0 |
| qwen3.8-flash-next |           pp2048 (c2) | 3009.43 ± 238.49 | 2044.04 ± 707.93 |                |                  |    1137.31 ± 328.46 |    1135.60 ± 328.46 |    1137.31 ± 328.46 |          0.433 |            0 |
| qwen3.8-flash-next |            tg512 (c2) |    89.19 ± 12.76 |     46.75 ± 5.63 | 118.00 ± 10.20 |     65.83 ± 5.81 |                     |                     |                     |          0.433 |            0 |
| qwen3.8-flash-next |           pp2048 (c4) |  3124.71 ± 38.56 | 1052.94 ± 158.63 |                |                  |    2043.64 ± 367.77 |    2041.93 ± 367.77 |    2043.64 ± 367.77 |          0.456 |            0 |
| qwen3.8-flash-next |            tg512 (c4) |    143.42 ± 1.99 |     37.39 ± 2.32 | 198.67 ± 12.28 |     54.17 ± 3.31 |                     |                     |                     |          0.456 |            0 |
| qwen3.8-flash-next |           pp2048 (c5) | 3072.32 ± 113.70 | 1001.01 ± 484.07 |                |                  |    2411.24 ± 758.86 |    2409.53 ± 758.86 |    2411.24 ± 758.86 |          0.432 |            0 |
| qwen3.8-flash-next |            tg512 (c5) |    146.62 ± 4.46 |     32.31 ± 2.38 | 221.00 ± 13.93 |     49.60 ± 3.52 |                     |                     |                     |          0.432 |            0 |
| qwen3.8-flash-next |           pp2048 (c8) |   3129.04 ± 6.08 |  855.97 ± 691.09 |                |                  |   3381.97 ± 1427.06 |   3380.26 ± 1427.06 |   3381.97 ± 1427.06 |          0.434 |            0 |
| qwen3.8-flash-next |            tg512 (c8) |    176.95 ± 2.72 |     26.10 ± 1.99 | 286.00 ± 23.62 |     43.04 ± 3.05 |                     |                     |                     |          0.434 |            0 |
| qwen3.8-flash-next |          pp2048 (c10) |  3199.01 ± 35.69 |  695.94 ± 519.28 |                |                  |   4073.02 ± 1785.88 |   4071.31 ± 1785.88 |   4073.02 ± 1785.88 |          0.427 |            0 |
| qwen3.8-flash-next |           tg512 (c10) |    194.74 ± 2.45 |     23.15 ± 2.00 | 323.33 ± 18.79 |     39.57 ± 3.02 |                     |                     |                     |          0.427 |            0 |
| qwen3.8-flash-next |          pp2048 (c16) |  3193.40 ± 25.04 |  523.20 ± 512.74 |                |                  |   6142.51 ± 2972.34 |   6140.80 ± 2972.34 |   6142.51 ± 2972.34 |          0.431 |            0 |
| qwen3.8-flash-next |           tg512 (c16) |    234.14 ± 5.96 |     18.66 ± 2.02 | 436.67 ± 13.07 |     35.71 ± 4.36 |                     |                     |                     |          0.431 |            0 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c1) |   3046.80 ± 7.05 |   3046.80 ± 7.05 |                |                  |     5383.78 ± 12.43 |     5382.07 ± 12.43 |     5385.24 ± 11.70 |          0.396 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c1) |     51.06 ± 2.18 |     51.06 ± 2.18 |  75.00 ± 13.59 |    75.00 ± 13.59 |                     |                     |                     |          0.396 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c1) |   783.99 ± 11.02 |   783.99 ± 11.02 |                |                  |     2614.52 ± 37.09 |     2612.81 ± 37.09 |     2615.64 ± 36.30 |          0.396 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c1) |     51.39 ± 3.56 |     51.39 ± 3.56 |   70.67 ± 5.79 |     70.67 ± 5.79 |                     |                     |                     |          0.396 |        0.329 |
