| model              |                 test |      t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|-----------------:|-----------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) | 2403.78 ± 154.78 | 2403.78 ± 154.78 |               |                  |      858.64 ± 53.92 |      855.88 ± 53.92 |      858.64 ± 53.92 |
| qwen3.8-flash-next |           tg128 (c1) |     36.83 ± 2.35 |     36.83 ± 2.35 |  37.33 ± 2.05 |     37.33 ± 2.05 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) |  2833.80 ± 37.68 |  1429.99 ± 21.28 |               |                  |     1436.07 ± 21.44 |     1433.31 ± 21.44 |     1436.07 ± 21.44 |
| qwen3.8-flash-next |           tg128 (c2) |     61.02 ± 4.34 |     31.75 ± 2.22 |  64.67 ± 4.03 |     32.33 ± 2.29 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) |  3034.13 ± 71.56 |  666.88 ± 119.79 |               |                  |    3150.06 ± 421.76 |    3147.29 ± 421.76 |    3150.06 ± 421.76 |
| qwen3.8-flash-next |           tg128 (c5) |     92.60 ± 5.67 |     23.15 ± 2.77 | 118.00 ± 6.53 |     23.60 ± 2.80 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) |   2751.57 ± 9.00 |   2751.57 ± 9.00 |               |                  |       747.80 ± 2.44 |       745.04 ± 2.44 |       747.80 ± 2.44 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |     37.40 ± 3.62 |     37.40 ± 3.62 |  38.00 ± 3.56 |     38.00 ± 3.56 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) |   1432.17 ± 9.18 |   1432.17 ± 9.18 |               |                  |      1432.82 ± 9.20 |      1430.06 ± 9.20 |      1432.82 ± 9.20 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |     36.99 ± 2.74 |     36.99 ± 2.74 |  37.67 ± 2.62 |     37.67 ± 2.62 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) |   2811.24 ± 6.02 |   1411.64 ± 4.54 |               |                  |      1455.23 ± 4.55 |      1452.47 ± 4.55 |      1455.23 ± 4.55 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |     61.59 ± 3.98 |     31.91 ± 2.13 |  64.67 ± 3.40 |     32.33 ± 2.13 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) |   1940.98 ± 1.74 |    975.99 ± 6.21 |               |                  |     2101.22 ± 13.29 |     2098.46 ± 13.29 |     2101.22 ± 13.29 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |     63.51 ± 6.56 |     32.70 ± 3.61 |  66.67 ± 6.85 |     33.33 ± 3.50 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) |   3021.18 ± 9.45 |   652.57 ± 79.24 |               |                  |    3183.51 ± 328.08 |    3180.74 ± 328.08 |    3183.51 ± 328.08 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |     90.80 ± 3.93 |     21.81 ± 2.28 | 112.00 ± 4.55 |     22.40 ± 2.24 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) |   1850.67 ± 3.40 |  452.29 ± 110.72 |               |                  |    4745.28 ± 902.65 |    4742.51 ± 902.65 |    4745.28 ± 902.65 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |     79.77 ± 6.89 |     20.43 ± 2.88 | 104.33 ± 3.09 |     20.87 ± 2.85 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) |   2865.20 ± 6.40 |   2865.20 ± 6.40 |               |                  |      1432.92 ± 3.04 |      1430.16 ± 3.04 |      1432.92 ± 3.04 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |     36.58 ± 0.52 |     36.58 ± 0.52 |  37.33 ± 0.47 |     37.33 ± 0.47 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |    987.58 ± 0.89 |    987.58 ± 0.89 |               |                  |      2076.52 ± 1.86 |      2073.75 ± 1.86 |      2076.52 ± 1.86 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |     37.18 ± 4.56 |     37.18 ± 4.56 |  37.67 ± 4.50 |     37.67 ± 4.50 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) |   2935.57 ± 3.15 |   1471.22 ± 2.36 |               |                  |      2788.21 ± 4.47 |      2785.45 ± 4.47 |      2788.21 ± 4.47 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |     55.40 ± 2.65 |     28.86 ± 1.69 |  59.00 ± 1.41 |     29.50 ± 1.89 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) |   1436.25 ± 3.77 |   737.68 ± 26.17 |               |                  |     2782.44 ± 96.23 |     2779.68 ± 96.23 |     2782.44 ± 96.23 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |     58.34 ± 3.92 |     29.94 ± 2.03 |  60.67 ± 3.40 |     30.33 ± 1.89 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) |   3030.83 ± 0.68 |  736.12 ± 170.36 |               |                  |   5825.96 ± 1117.24 |   5823.20 ± 1117.24 |   5825.96 ± 1117.24 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |     68.97 ± 1.14 |     19.32 ± 3.39 |  98.67 ± 0.47 |     19.73 ± 3.34 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) |   2060.88 ± 2.54 |   465.54 ± 94.94 |               |                  |    4535.24 ± 668.09 |    4532.47 ± 668.09 |    4535.24 ± 668.09 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |     89.84 ± 8.44 |     22.64 ± 3.00 | 116.00 ± 8.60 |     23.20 ± 2.97 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) |   2960.94 ± 8.46 |   2960.94 ± 8.46 |               |                  |      2770.15 ± 7.92 |      2767.39 ± 7.92 |      2770.15 ± 7.92 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |     37.22 ± 1.38 |     37.22 ± 1.38 |  37.67 ± 1.70 |     37.67 ± 1.70 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |    965.21 ± 3.75 |    965.21 ± 3.75 |               |                  |      2124.61 ± 8.25 |      2121.85 ± 8.25 |      2124.61 ± 8.25 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |     31.58 ± 2.61 |     31.58 ± 2.61 |  32.00 ± 2.94 |     32.00 ± 2.94 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) |   3001.65 ± 4.94 |  1526.92 ± 25.39 |               |                  |     5370.49 ± 89.38 |     5367.72 ± 89.38 |     5370.49 ± 89.38 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |     54.77 ± 3.60 |     29.26 ± 2.15 |  59.33 ± 3.40 |     29.67 ± 2.13 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |   1430.31 ± 5.16 |  802.31 ± 121.87 |               |                  |    2609.71 ± 357.59 |    2606.95 ± 357.59 |    2609.71 ± 357.59 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |     53.74 ± 2.56 |     29.45 ± 1.76 |  59.67 ± 0.94 |     29.83 ± 1.95 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) |   3044.55 ± 1.52 |  919.04 ± 352.16 |               |                  |  10079.63 ± 3131.86 |  10076.87 ± 3131.86 |  10079.63 ± 3131.86 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |     41.00 ± 4.70 |     15.53 ± 5.65 |  76.33 ± 3.77 |     16.07 ± 5.63 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) |  1997.12 ± 23.09 |  500.67 ± 186.46 |               |                  |   4465.50 ± 1018.07 |   4462.74 ± 1018.07 |   4465.50 ± 1018.07 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |    77.07 ± 11.09 |     21.58 ± 3.48 | 111.00 ± 6.16 |     22.20 ± 3.47 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) |  3017.28 ± 21.57 |  3017.28 ± 21.57 |               |                  |     5433.53 ± 38.98 |     5430.77 ± 38.98 |     5433.53 ± 38.98 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |     33.83 ± 2.77 |     33.83 ± 2.77 |  34.33 ± 2.62 |     34.33 ± 2.62 |                     |                     |                     |
