| model              |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) |  1400.22 ± 74.53 |  1400.22 ± 74.53 |                |                  |     1469.29 ± 78.64 |     1467.52 ± 78.64 |     1469.29 ± 78.64 |
| qwen3.8-flash-next |           tg128 (c1) |     30.56 ± 1.94 |     30.56 ± 1.94 |   31.00 ± 2.16 |     31.00 ± 2.16 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) | 1935.18 ± 600.01 |  976.52 ± 301.89 |                |                  |    2278.90 ± 578.86 |    2277.13 ± 578.86 |    2278.90 ± 578.86 |
| qwen3.8-flash-next |           tg128 (c2) |     54.70 ± 6.96 |     28.50 ± 4.18 |   58.00 ± 8.04 |     29.00 ± 4.32 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) | 1929.76 ± 518.92 |  410.71 ± 116.52 |                |                  |   5356.59 ± 1311.79 |   5354.81 ± 1311.79 |   5356.59 ± 1311.79 |
| qwen3.8-flash-next |           tg128 (c5) |    73.95 ± 15.27 |     18.74 ± 4.42 |  95.67 ± 20.04 |     19.20 ± 4.45 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) | 2296.44 ± 612.48 | 2296.44 ± 612.48 |                |                  |     980.22 ± 321.56 |     978.45 ± 321.56 |     980.22 ± 321.56 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |     29.25 ± 3.02 |     29.25 ± 3.02 |   29.67 ± 2.87 |     29.67 ± 2.87 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) | 1239.32 ± 332.29 | 1239.32 ± 332.29 |                |                  |    1813.76 ± 595.50 |    1811.98 ± 595.50 |    1813.76 ± 595.50 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |     30.94 ± 4.97 |     30.94 ± 4.97 |   31.33 ± 4.78 |     31.33 ± 4.78 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) | 2400.66 ± 554.85 | 1204.66 ± 278.72 |                |                  |    1819.78 ± 502.62 |    1818.01 ± 502.62 |    1819.78 ± 502.62 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |     55.69 ± 7.10 |     28.73 ± 3.63 |   58.33 ± 6.94 |     29.17 ± 3.62 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) | 1627.41 ± 429.91 |  816.10 ± 212.93 |                |                  |    2739.91 ± 876.36 |    2738.14 ± 876.36 |    2739.91 ± 876.36 |
