| model              |                 test |      t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|-----------------:|-----------------:|--------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) | 2060.10 ± 584.04 | 2060.10 ± 584.04 |               |                  |    1107.69 ± 390.52 |    1105.25 ± 390.52 |    1107.69 ± 390.52 |
| qwen3.8-flash-next |           tg128 (c1) |     39.64 ± 4.50 |     39.64 ± 4.50 |  40.00 ± 4.55 |     40.00 ± 4.55 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) |  2759.32 ± 93.92 |  1393.03 ± 46.39 |               |                  |     1475.01 ± 50.21 |     1472.56 ± 50.21 |     1475.01 ± 50.21 |
| qwen3.8-flash-next |           tg128 (c2) |     62.01 ± 3.76 |     32.80 ± 2.30 |  66.67 ± 2.05 |     33.33 ± 2.21 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) | 2980.13 ± 155.85 |   633.79 ± 79.27 |               |                  |    3280.55 ± 362.39 |    3278.11 ± 362.39 |    3280.55 ± 362.39 |
| qwen3.8-flash-next |           tg128 (c5) |     97.46 ± 1.60 |     23.49 ± 2.37 | 120.00 ± 2.16 |     24.00 ± 2.31 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) |  2744.56 ± 20.63 |  2744.56 ± 20.63 |               |                  |       749.42 ± 5.64 |       746.98 ± 5.64 |       749.42 ± 5.64 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |     32.86 ± 5.07 |     32.86 ± 5.07 |  33.33 ± 5.31 |     33.33 ± 5.31 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) |  1463.85 ± 34.04 |  1463.85 ± 34.04 |               |                  |     1402.23 ± 32.02 |     1399.79 ± 32.02 |     1402.23 ± 32.02 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |     34.65 ± 1.12 |     34.65 ± 1.12 |  35.00 ± 0.82 |     35.00 ± 0.82 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) |  2813.86 ± 10.00 |   1413.09 ± 6.37 |               |                  |      1453.43 ± 6.42 |      1450.98 ± 6.42 |      1453.43 ± 6.42 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |     55.84 ± 2.96 |     30.00 ± 3.31 |  60.67 ± 4.64 |     30.33 ± 3.25 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) |   1938.29 ± 7.11 |    974.25 ± 6.44 |               |                  |     2104.66 ± 13.83 |     2102.22 ± 13.83 |     2104.66 ± 13.83 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |     63.91 ± 5.16 |     32.65 ± 2.38 |  66.33 ± 4.19 |     33.17 ± 2.34 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) |  3042.35 ± 27.21 |   654.66 ± 79.07 |               |                  |    3173.13 ± 325.61 |    3170.68 ± 325.61 |    3173.13 ± 325.61 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |     89.85 ± 4.46 |     22.11 ± 2.10 | 112.67 ± 4.99 |     22.53 ± 2.25 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) | 1590.27 ± 191.34 |   360.41 ± 69.75 |               |                  |   5883.20 ± 1040.07 |   5880.75 ± 1040.07 |   5883.20 ± 1040.07 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |     81.27 ± 6.55 |     20.92 ± 2.99 | 107.00 ± 7.07 |     21.47 ± 2.94 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) | 2583.93 ± 325.95 | 2583.93 ± 325.95 |               |                  |    1616.43 ± 222.33 |    1613.99 ± 222.33 |    1616.43 ± 222.33 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |     34.56 ± 3.38 |     34.56 ± 3.38 |  35.00 ± 3.56 |     35.00 ± 3.56 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |  878.59 ± 127.71 |  878.59 ± 127.71 |               |                  |    2389.65 ± 386.66 |    2387.21 ± 386.66 |    2389.65 ± 386.66 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |     35.77 ± 2.13 |     35.77 ± 2.13 |  36.33 ± 2.49 |     36.33 ± 2.49 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) |  2896.76 ± 37.89 |  1451.75 ± 19.11 |               |                  |     2825.62 ± 37.57 |     2823.17 ± 37.57 |     2825.62 ± 37.57 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |     59.81 ± 1.77 |     32.74 ± 2.59 |  66.67 ± 4.92 |     33.33 ± 2.56 |                     |                     |                     |
