| model              |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
|:-------------------|---------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|
| qwen3.8-flash-next |          pp2048 (c1) | 1982.22 ± 299.65 | 1982.22 ± 299.65 |                |                  |    1062.05 ± 177.46 |    1060.32 ± 177.46 |    1062.05 ± 177.46 |
| qwen3.8-flash-next |           tg128 (c1) |     38.55 ± 1.05 |     38.55 ± 1.05 |   39.00 ± 0.82 |     39.00 ± 0.82 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c2) |  2840.14 ± 15.36 |  1432.31 ± 13.34 |                |                  |     1432.29 ± 13.15 |     1430.56 ± 13.15 |     1432.29 ± 13.15 |
| qwen3.8-flash-next |           tg128 (c2) |     60.57 ± 3.96 |     31.37 ± 2.51 |   63.67 ± 4.19 |     31.83 ± 2.48 |                     |                     |                     |
| qwen3.8-flash-next |          pp2048 (c5) |  3016.40 ± 66.21 |  683.04 ± 151.45 |                |                  |    3112.28 ± 502.94 |    3110.55 ± 502.94 |    3112.28 ± 502.94 |
| qwen3.8-flash-next |           tg128 (c5) |     94.98 ± 1.51 |     23.29 ± 2.41 |  119.00 ± 5.10 |     23.80 ± 2.32 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c1) |   2762.59 ± 7.46 |   2762.59 ± 7.46 |                |                  |       743.91 ± 1.84 |       742.18 ± 1.84 |       743.91 ± 1.84 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c1) |     36.93 ± 1.02 |     36.93 ± 1.02 |   37.33 ± 0.94 |     37.33 ± 0.94 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c1) |  1443.63 ± 10.91 |  1443.63 ± 10.91 |                |                  |     1420.46 ± 10.67 |     1418.73 ± 10.67 |     1420.46 ± 10.67 |
| qwen3.8-flash-next |   tg128 @ d2048 (c1) |     37.33 ± 0.16 |     37.33 ± 0.16 |   38.00 ± 0.00 |     38.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c2) | 2693.60 ± 229.19 | 1354.71 ± 115.68 |                |                  |    1527.02 ± 138.36 |    1525.29 ± 138.36 |    1527.02 ± 138.36 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |     57.55 ± 3.91 |     29.16 ± 2.23 |   59.33 ± 3.77 |     29.67 ± 1.97 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) | 1502.71 ± 350.70 |  752.40 ± 175.32 |                |                  |    2878.18 ± 672.11 |    2876.45 ± 672.11 |    2878.18 ± 672.11 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |     62.35 ± 1.14 |     31.98 ± 1.14 |   64.67 ± 0.47 |     32.33 ± 0.94 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) | 2725.61 ± 457.21 |  589.77 ± 121.08 |                |                  |    3635.38 ± 788.55 |    3633.65 ± 788.55 |    3635.38 ± 788.55 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |     95.09 ± 8.35 |     22.45 ± 2.49 | 114.00 ± 10.20 |     22.87 ± 2.50 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) | 1779.20 ± 104.33 |   410.78 ± 70.88 |                |                  |    5123.51 ± 795.61 |    5121.78 ± 795.61 |    5123.51 ± 795.61 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |     89.38 ± 6.75 |     22.82 ± 3.14 |  116.33 ± 8.01 |     23.27 ± 3.13 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) |   2895.84 ± 8.24 |   2895.84 ± 8.24 |                |                  |      1416.87 ± 4.02 |      1415.15 ± 4.02 |      1416.87 ± 4.02 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |     34.47 ± 1.62 |     34.47 ± 1.62 |   35.00 ± 1.41 |     35.00 ± 1.41 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |  742.33 ± 179.50 |  742.33 ± 179.50 |                |                  |    2920.91 ± 671.40 |    2919.18 ± 671.40 |    2920.91 ± 671.40 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |     35.65 ± 0.44 |     35.65 ± 0.44 |   36.33 ± 0.47 |     36.33 ± 0.47 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) | 2496.81 ± 427.09 | 1250.79 ± 214.39 |                |                  |    3385.59 ± 630.25 |    3383.86 ± 630.25 |    3385.59 ± 630.25 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |     56.59 ± 4.44 |     29.49 ± 2.98 |   60.00 ± 5.72 |     30.00 ± 3.06 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) | 1268.08 ± 249.19 |  676.35 ± 178.25 |                |                  |    3258.62 ± 892.37 |    3256.89 ± 892.37 |    3258.62 ± 892.37 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |     53.29 ± 9.44 |     29.39 ± 3.73 |   59.67 ± 6.60 |     29.83 ± 3.72 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) | 2589.79 ± 382.38 |  615.31 ± 171.34 |                |                  |   7115.71 ± 1705.61 |   7113.98 ± 1705.61 |   7115.71 ± 1705.61 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |     74.51 ± 1.42 |     21.71 ± 4.05 |  111.33 ± 2.36 |     22.27 ± 3.94 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) | 1924.59 ± 169.09 |  496.88 ± 198.82 |                |                  |   4578.20 ± 1185.93 |   4576.47 ± 1185.93 |   4578.20 ± 1185.93 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |    79.16 ± 16.24 |     21.00 ± 4.04 | 107.33 ± 13.12 |     21.47 ± 4.06 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) | 2676.54 ± 427.67 | 2676.54 ± 427.67 |                |                  |    3153.99 ± 567.73 |    3152.26 ± 567.73 |    3153.99 ± 567.73 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |     33.74 ± 2.39 |     33.74 ± 2.39 |   34.33 ± 2.36 |     34.33 ± 2.36 |                     |                     |                     |
