| model              |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |   accept/draft |   prefix-hit |
|:-------------------|----------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|---------------:|-------------:|
| qwen3.8-flash-next |           pp2048 (c1) | 2776.01 ± 219.41 | 2776.01 ± 219.41 |                |                  |      760.82 ± 62.86 |      758.81 ± 62.86 |      760.82 ± 62.86 |          0.426 |            0 |
| qwen3.8-flash-next |            tg512 (c1) |     55.23 ± 1.71 |     55.23 ± 1.71 |   73.00 ± 2.94 |     73.00 ± 2.94 |                     |                     |                     |          0.426 |            0 |
| qwen3.8-flash-next |           pp2048 (c2) | 3132.67 ± 215.47 | 1829.65 ± 521.70 |                |                  |    1212.23 ± 239.29 |    1210.22 ± 239.29 |    1212.23 ± 239.29 |          0.439 |            0 |
| qwen3.8-flash-next |            tg512 (c2) |     91.05 ± 1.98 |     47.21 ± 1.97 |  118.33 ± 6.85 |     64.33 ± 4.42 |                     |                     |                     |          0.439 |            0 |
| qwen3.8-flash-next |           pp2048 (c4) |  3152.82 ± 13.47 | 1125.93 ± 488.41 |                |                  |    2078.32 ± 555.59 |    2076.31 ± 555.59 |    2078.32 ± 555.59 |          0.448 |            0 |
| qwen3.8-flash-next |            tg512 (c4) |    136.88 ± 5.52 |     36.96 ± 2.04 |  189.67 ± 7.93 |     54.33 ± 2.29 |                     |                     |                     |          0.448 |            0 |
| qwen3.8-flash-next |           pp2048 (c5) | 3213.43 ± 101.84 | 1042.90 ± 563.28 |                |                  |    2355.49 ± 753.24 |    2353.48 ± 753.24 |    2355.49 ± 753.24 |          0.433 |            0 |
| qwen3.8-flash-next |            tg512 (c5) |    146.01 ± 5.87 |     32.59 ± 1.48 |  209.00 ± 2.45 |     49.53 ± 3.50 |                     |                     |                     |          0.433 |            0 |
| qwen3.8-flash-next |           pp2048 (c8) |  3197.60 ± 78.59 |  803.79 ± 535.18 |                |                  |   3369.83 ± 1408.68 |   3367.82 ± 1408.68 |   3369.83 ± 1408.68 |          0.429 |            0 |
| qwen3.8-flash-next |            tg512 (c8) |    181.12 ± 3.14 |     26.28 ± 2.09 | 296.00 ± 11.22 |     44.08 ± 4.96 |                     |                     |                     |          0.429 |            0 |
