| model              |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |   accept/draft |   prefix-hit |
|:-------------------|----------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|---------------:|-------------:|
| qwen3.8-flash-next |           pp2048 (c1) | 2604.22 ± 311.25 | 2604.22 ± 311.25 |                |                  |     817.62 ± 102.97 |     815.72 ± 102.97 |     817.62 ± 102.97 |          0.444 |            0 |
| qwen3.8-flash-next |            tg512 (c1) |     53.06 ± 4.25 |     53.06 ± 4.25 |   74.67 ± 8.18 |     74.67 ± 8.18 |                     |                     |                     |          0.444 |            0 |
| qwen3.8-flash-next |           pp2048 (c2) | 2734.54 ± 527.11 | 1826.69 ± 635.27 |                |                  |    1283.80 ± 423.61 |    1281.89 ± 423.61 |    1283.80 ± 423.61 |           0.41 |            0 |
| qwen3.8-flash-next |            tg512 (c2) |     81.09 ± 5.83 |     42.16 ± 4.30 |  110.67 ± 2.62 |     60.00 ± 2.65 |                     |                     |                     |           0.41 |            0 |
| qwen3.8-flash-next |           pp2048 (c4) |   3157.80 ± 8.06 | 1066.08 ± 160.00 |                |                  |    2018.81 ± 364.18 |    2016.91 ± 364.18 |    2018.81 ± 364.18 |          0.456 |            0 |
| qwen3.8-flash-next |            tg512 (c4) |    133.46 ± 6.44 |     35.47 ± 2.69 |  183.33 ± 6.55 |     52.92 ± 2.14 |                     |                     |                     |          0.456 |            0 |
| qwen3.8-flash-next |           pp2048 (c5) | 3214.88 ± 101.71 | 1049.24 ± 580.14 |                |                  |    2350.92 ± 755.64 |    2349.01 ± 755.64 |    2350.92 ± 755.64 |          0.433 |            0 |
| qwen3.8-flash-next |            tg512 (c5) |    138.54 ± 6.24 |     30.22 ± 1.91 |  207.00 ± 7.07 |     48.13 ± 2.80 |                     |                     |                     |          0.433 |            0 |
| qwen3.8-flash-next |           pp2048 (c8) | 2943.29 ± 277.29 |  794.48 ± 553.13 |                |                  |   3514.34 ± 1575.82 |   3512.43 ± 1575.82 |   3514.34 ± 1575.82 |          0.436 |            0 |
| qwen3.8-flash-next |            tg512 (c8) |    164.78 ± 6.20 |     23.72 ± 1.98 | 272.67 ± 11.56 |     41.67 ± 3.85 |                     |                     |                     |          0.436 |            0 |
| qwen3.8-flash-next |          pp2048 (c10) | 2982.72 ± 390.88 |  658.23 ± 578.37 |                |                  |   4689.97 ± 2228.12 |   4688.06 ± 2228.12 |   4689.97 ± 2228.12 |          0.434 |            0 |
| qwen3.8-flash-next |           tg512 (c10) |    177.67 ± 8.61 |     21.12 ± 1.78 | 305.67 ± 20.07 |     36.83 ± 2.46 |                     |                     |                     |          0.434 |            0 |
| qwen3.8-flash-next |          pp2048 (c16) | 2649.59 ± 163.21 |  443.94 ± 468.49 |                |                  |   7574.73 ± 3710.41 |   7572.83 ± 3710.41 |   7574.73 ± 3710.41 |          0.442 |            0 |
