| model              |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |   accept/draft |   prefix-hit |
|:-------------------|----------------------:|-----------------:|-----------------:|---------------:|-----------------:|--------------------:|--------------------:|--------------------:|---------------:|-------------:|
| qwen3.8-flash-next |           pp2048 (c1) |  2876.93 ± 18.38 |  2876.93 ± 18.38 |                |                  |       729.63 ± 4.90 |       727.43 ± 4.90 |       729.63 ± 4.90 |          0.465 |            0 |
| qwen3.8-flash-next |            tg512 (c1) |     57.52 ± 2.12 |     57.52 ± 2.12 |   72.67 ± 1.70 |     72.67 ± 1.70 |                     |                     |                     |          0.465 |            0 |
| qwen3.8-flash-next |           pp2048 (c2) | 3098.75 ± 290.52 | 1776.71 ± 424.02 |                |                  |    1232.65 ± 229.20 |    1230.44 ± 229.20 |    1232.65 ± 229.20 |          0.468 |            0 |
| qwen3.8-flash-next |            tg512 (c2) |     96.17 ± 9.90 |     49.05 ± 5.13 |  123.33 ± 9.81 |     70.00 ± 7.81 |                     |                     |                     |          0.468 |            0 |
| qwen3.8-flash-next |           pp2048 (c4) |  3221.28 ± 55.09 | 1251.65 ± 768.57 |                |                  |    2078.06 ± 689.28 |    2075.86 ± 689.28 |    2078.06 ± 689.28 |           0.44 |            0 |
| qwen3.8-flash-next |            tg512 (c4) |    131.17 ± 4.64 |     36.92 ± 2.39 |  186.00 ± 5.72 |     53.00 ± 3.63 |                     |                     |                     |           0.44 |            0 |
| qwen3.8-flash-next |           pp2048 (c5) |  3194.88 ± 85.35 | 1034.46 ± 562.25 |                |                  |    2373.37 ± 753.51 |    2371.17 ± 753.51 |    2373.37 ± 753.51 |          0.418 |            0 |
| qwen3.8-flash-next |            tg512 (c5) |    144.50 ± 8.01 |     32.13 ± 2.09 |  210.33 ± 8.99 |     48.47 ± 2.53 |                     |                     |                     |          0.418 |            0 |
| qwen3.8-flash-next |           pp2048 (c8) |   3136.35 ± 3.08 |  905.36 ± 806.94 |                |                  |   3390.30 ± 1441.45 |   3388.10 ± 1441.45 |   3390.30 ± 1441.45 |          0.439 |            0 |
| qwen3.8-flash-next |            tg512 (c8) |    177.59 ± 3.83 |     26.46 ± 1.91 |  315.33 ± 8.22 |     44.08 ± 3.20 |                     |                     |                     |          0.439 |            0 |
| qwen3.8-flash-next |          pp2048 (c10) |  3242.02 ± 44.95 |  702.78 ± 527.49 |                |                  |   4062.57 ± 1814.57 |   4060.37 ± 1814.57 |   4062.57 ± 1814.57 |          0.431 |            0 |
| qwen3.8-flash-next |           tg512 (c10) |    197.04 ± 6.40 |     23.22 ± 1.92 |  331.00 ± 0.82 |     40.67 ± 2.66 |                     |                     |                     |          0.431 |            0 |
| qwen3.8-flash-next |          pp2048 (c16) |  3200.55 ± 35.68 |  521.91 ± 484.20 |                |                  |   6092.42 ± 2953.66 |   6090.22 ± 2953.66 |   6092.42 ± 2953.66 |          0.422 |            0 |
| qwen3.8-flash-next |           tg512 (c16) |    236.98 ± 7.95 |     18.60 ± 2.13 | 448.33 ± 24.85 |     36.10 ± 4.05 |                     |                     |                     |          0.422 |            0 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c1) |   3050.88 ± 5.78 |   3050.88 ± 5.78 |                |                  |     5377.07 ± 10.20 |     5374.86 ± 10.20 |     5377.97 ± 11.45 |          0.418 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c1) |     50.96 ± 4.01 |     50.96 ± 4.01 |   68.00 ± 2.16 |     68.00 ± 2.16 |                     |                     |                     |          0.418 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c1) |    788.89 ± 3.83 |    788.89 ± 3.83 |                |                  |     2598.30 ± 12.58 |     2596.10 ± 12.58 |     2599.20 ± 11.96 |          0.418 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c1) |     58.85 ± 2.00 |     58.85 ± 2.00 |   76.00 ± 0.82 |     76.00 ± 0.82 |                     |                     |                     |          0.418 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c2) |  3022.85 ± 40.27 | 1803.53 ± 292.51 |                |                  |   9339.95 ± 1515.15 |   9337.75 ± 1515.15 |   9341.82 ± 1514.14 |          0.403 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c2) |     63.97 ± 1.61 |     38.16 ± 5.56 | 118.67 ± 13.02 |     71.00 ± 9.26 |                     |                     |                     |          0.403 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c2) |   796.81 ± 10.86 |   495.14 ± 96.82 |                |                  |    4302.59 ± 840.07 |    4300.38 ± 840.07 |    4304.77 ± 839.15 |          0.403 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c2) |     82.77 ± 1.29 |     45.31 ± 3.05 |  119.33 ± 6.80 |     64.17 ± 3.34 |                     |                     |                     |          0.403 |        0.329 |
